"subj" "group" "tree" "cat" "rt"
13 0 4 8 2661
13 0 5 11 3524
13 0 5 11 2306
13 0 3 7 3937
13 0 6 12 2364
13 0 7 14 2640
13 0 7 15 3457
13 0 2 4 2047
13 0 1 3 1649
13 0 5 11 2266
13 0 7 15 3898
13 0 4 8 4358
13 0 3 7 2152
13 0 0 0 2149
13 0 4 8 2410
13 0 0 1 2284
13 0 7 15 2451
13 0 4 8 5547
13 0 4 8 3387
13 0 3 7 2959
13 0 2 4 2691
13 0 1 2 1834
13 0 2 4 1963
13 0 3 7 2888
14 0 6 12 4044
14 0 4 8 5393
14 0 0 0 3231
14 0 3 7 3300
14 0 4 8 4541
14 0 6 13 3056
14 0 7 15 3262
14 0 5 11 5491
14 0 4 8 4058
14 0 6 13 3019
14 0 3 7 2614
14 0 6 13 2843
14 0 4 8 4061
14 0 3 6 4432
14 0 4 8 4030
14 0 2 5 3200
14 0 6 13 2481
14 0 3 7 2465
14 0 0 1 4571
14 0 5 10 4091
14 0 0 0 2578
14 0 7 15 2749
14 0 2 4 3229
14 0 7 15 2960
14 0 5 11 2997
14 0 7 15 3761
14 0 5 11 2007
14 0 1 2 2908
14 0 3 7 3795
14 0 1 2 3716
14 0 2 5 3413
14 0 4 8 3318
14 0 5 10 4977
14 0 1 2 3995
14 0 1 2 4406
14 0 7 15 2195
14 0 3 7 2536
14 0 3 6 3116
14 0 0 0 3420
14 0 1 2 3305
14 0 0 0 2969
14 0 2 5 3619
14 0 6 13 3425
14 0 5 10 4239
14 0 2 5 4746
14 0 6 13 3737
14 0 1 2 2510
14 0 1 3 3349
14 0 0 1 2765
14 0 2 5 3849
14 0 4 9 5057
14 0 5 11 3157
14 0 7 15 1683
14 0 0 0 3178
14 0 1 3 3033
14 0 4 8 2835
14 0 3 7 3346
14 0 2 5 2524
14 0 2 5 2461
14 0 6 13 1988
14 0 6 13 5751
14 0 2 4 3490
14 0 1 3 3468
14 0 1 2 2208
14 0 2 5 2761
14 0 4 8 3303
14 0 0 0 2664
14 0 7 15 2294
14 0 4 8 3230
14 0 3 6 3135
14 0 3 7 2463
14 0 5 11 2756
14 0 7 14 3097
14 0 0 0 3573
14 0 0 0 4155
14 0 7 15 3605
14 0 6 12 4906
14 0 5 11 3188
14 0 7 15 3367
15 0 1 2 2633
15 0 0 0 3731
15 0 0 0 4865
15 0 2 5 4361
15 0 7 15 2429
15 0 1 2 2776
15 0 3 7 2708
15 0 2 5 2420
15 0 5 11 3534
15 0 4 8 7813
15 0 3 7 3547
15 0 3 7 2873
15 0 1 2 3441
15 0 5 10 3859
15 0 2 5 3659
15 0 5 11 5204
15 0 5 11 3973
15 0 6 12 2698
15 0 7 15 2193
15 0 7 15 4310
15 0 3 7 2708
15 0 0 0 2395
15 0 0 0 4299
15 0 1 2 3714
15 0 1 3 7928
15 0 2 5 4419
15 0 0 0 6924
15 0 5 10 4255
15 0 6 13 3967
15 0 6 13 4330
15 0 0 1 4776
15 0 2 5 6931
15 0 1 2 6462
15 0 3 7 4092
15 0 1 2 2451
15 0 4 9 4013
15 0 4 8 5391
15 0 7 15 2737
15 0 4 8 3624
15 0 7 15 2377
15 0 5 11 5310
15 0 7 14 2907
15 0 7 15 2715
15 0 1 2 3178
15 0 1 3 3710
15 0 4 8 3333
15 0 6 13 3154
15 0 6 13 6024
15 0 0 0 2950
15 0 2 4 1588
15 0 3 6 3177
